B01001	sex by age
B01001	universe total population
B01001	under 5 years
B01001	5 to 9 years
B01001	10 to 14 years
B01001	15 to 17 years
B01001	18 and 19 years
B01001	20 years
B01001	21 years
B01001	22 to 24 years
B01001	25 to 29 years
B01001	30 to 34 years
B01001	35 to 39 years
B01001	40 to 44 years
B01001	45 to 49 years
B01001	50 to 54 years
B01001	55 to 59 years
B01001	60 and 61 years
B01001	62 to 64 years
B01001	65 and 66 years
B01001	67 to 69 years
B01001	70 to 74 years
B01001	75 to 79 years
B01001	80 to 84 years
B01001	85 years and over
B01001A	sex by age white alone
B01001A	universe people who are white alone
B01001A	under 5 years
B01001A	5 to 9 years
B01001A	10 to 14 years
B01001A	15 to 17 years
B01001A	18 and 19 years
B01001A	20 to 24 years
B01001A	25 to 29 years
B01001A	30 to 34 years
B01001A	35 to 44 years
B01001A	45 to 54 years
B01001A	55 to 64 years
B01001A	65 to 74 years
B01001A	75 to 84 years
B01001A	85 years and over
B01001B	sex by age black or african american alone
B01001B	universe people who are black or african american alone
B01001B	under 5 years
B01001B	5 to 9 years
B01001B	10 to 14 years
B01001B	15 to 17 years
B01001B	18 and 19 years
B01001B	20 to 24 years
B01001B	25 to 29 years
B01001B	30 to 34 years
B01001B	35 to 44 years
B01001B	45 to 54 years
B01001B	55 to 64 years
B01001B	65 to 74 years
B01001B	75 to 84 years
B01001B	85 years and over
B01001C	sex by age american indian and alaska native alone
B01001C	universe people who are american indian and alaska native alone
B01001C	under 5 years
B01001C	5 to 9 years
B01001C	10 to 14 years
B01001C	15 to 17 years
B01001C	18 and 19 years
B01001C	20 to 24 years
B01001C	25 to 29 years
B01001C	30 to 34 years
B01001C	35 to 44 years
B01001C	45 to 54 years
B01001C	55 to 64 years
B01001C	65 to 74 years
B01001C	75 to 84 years
B01001C	85 years and over
B01001D	sex by age asian alone
B01001D	universe people who are asian alone
B01001D	under 5 years
B01001D	5 to 9 years
B01001D	10 to 14 years
B01001D	15 to 17 years
B01001D	18 and 19 years
B01001D	20 to 24 years
B01001D	25 to 29 years
B01001D	30 to 34 years
B01001D	35 to 44 years
B01001D	45 to 54 years
B01001D	55 to 64 years
B01001D	65 to 74 years
B01001D	75 to 84 years
B01001D	85 years and over
B01001E	sex by age native hawaiian and other pacific islander alone
B01001E	universe people who are native hawaiian and other pacific islander alone
B01001E	under 5 years
B01001E	5 to 9 years
B01001E	10 to 14 years
B01001E	15 to 17 years
B01001E	18 and 19 years
B01001E	20 to 24 years
B01001E	25 to 29 years
B01001E	30 to 34 years
B01001E	35 to 44 years
B01001E	45 to 54 years
B01001E	55 to 64 years
B01001E	65 to 74 years
B01001E	75 to 84 years
B01001E	85 years and over
B01001F	sex by age some other race alone
B01001F	universe people who are some other race alone
B01001F	under 5 years
B01001F	5 to 9 years
B01001F	10 to 14 years
B01001F	15 to 17 years
B01001F	18 and 19 years
B01001F	20 to 24 years
B01001F	25 to 29 years
B01001F	30 to 34 years
B01001F	35 to 44 years
B01001F	45 to 54 years
B01001F	55 to 64 years
B01001F	65 to 74 years
B01001F	75 to 84 years
B01001F	85 years and over
B01001G	sex by age two or more races
B01001G	universe people who are two or more races
B01001G	under 5 years
B01001G	5 to 9 years
B01001G	10 to 14 years
B01001G	15 to 17 years
B01001G	18 and 19 years
B01001G	20 to 24 years
B01001G	25 to 29 years
B01001G	30 to 34 years
B01001G	35 to 44 years
B01001G	45 to 54 years
B01001G	55 to 64 years
B01001G	65 to 74 years
B01001G	75 to 84 years
B01001G	85 years and over
B01001H	sex by age white alone not hispanic or latino
B01001H	universe white alone not hispanic or latino population
B01001H	under 5 years
B01001H	5 to 9 years
B01001H	10 to 14 years
B01001H	15 to 17 years
B01001H	18 and 19 years
B01001H	20 to 24 years
B01001H	25 to 29 years
B01001H	30 to 34 years
B01001H	35 to 44 years
B01001H	45 to 54 years
B01001H	55 to 64 years
B01001H	65 to 74 years
B01001H	75 to 84 years
B01001H	85 years and over
B01001I	sex by age hispanic or latino
B01001I	universe people who are hispanic or latino
B01001I	under 5 years
B01001I	5 to 9 years
B01001I	10 to 14 years
B01001I	15 to 17 years
B01001I	18 and 19 years
B01001I	20 to 24 years
B01001I	25 to 29 years
B01001I	30 to 34 years
B01001I	35 to 44 years
B01001I	45 to 54 years
B01001I	55 to 64 years
B01001I	65 to 74 years
B01001I	75 to 84 years
B01001I	85 years and over
B01002	0 5
B01002	median age by sex
B01002	universe total population
B01002	median age
B01002A	0 5
B01002A	median age by sex white alone
B01002A	universe people who are white alone
B01002A	median age
B01002B	0 5
B01002B	median age by sex black or african american alone
B01002B	universe people who are black or african american alone
B01002B	median age
B01002C	0 5
B01002C	median age by sex american indian and alaska native alone
B01002C	universe people who are american indian and alaska native alone
B01002C	median age
B01002D	0 5
B01002D	median age by sex asian alone
B01002D	universe people who are asian alone
B01002D	median age
B01002E	0 5
B01002E	median age by sex native hawaiian and other pacific islander alone
B01002E	universe people who are native hawaiian and other pacific islander alone
B01002E	median age
B01002F	0 5
B01002F	median age by sex some other race alone
B01002F	universe people who are some other race alone
B01002F	median age
B01002G	0 5
B01002G	median age by sex two or more races
B01002G	universe people who are two or more races
B01002G	median age
B01002H	0 5
B01002H	median age by sex white alone not hispanic or latino
B01002H	universe white alone not hispanic or latino population
B01002H	median age
B01002I	0 5
B01002I	median age by sex hispanic or latino
B01002I	universe people who are hispanic or latino
B01002I	median age
B01003	total population
B01003	universe total population
B02001	universe total population
B02001	white alone
B02001	black or african american alone
B02001	american indian and alaska native alone
B02001	asian alone
B02001	native hawaiian and other pacific islander alone
B02001	some other race alone
B02001	two or more races
B02001	two races including some other race
B02001	two races excluding some other race and three or more races
B02003	detailed race
B02003	universe total population
B02003	population of one race
B02003	white alone
B02003	black or african american alone
B02003	american indian and alaska native alone
B02003	asian alone
B02003	native hawaiian and other pacific islander alone
B02003	some other race alone
B02003	population of two or more races
B02003	population of two races
B02003	white black or african american
B02003	white american indian and alaska native
B02003	white asian
B02003	white native hawaiian and other pacific islander
B02003	white some other race
B02003	black or african american american indian and alaska native
B02003	black or african american asian
B02003	black or african american native hawaiian and other pacific islander
B02003	black or african american some other race
B02003	american indian and alaska native asian
B02003	american indian and alaska native native hawaiian and other pacific islander
B02003	american indian and alaska native some other race
B02003	asian native hawaiian and other pacific islander
B02003	asian some other race
B02003	native hawaiian and other pacific islander some other race
B02003	population of three races
B02003	white black or african american american indian and alaska native
B02003	white black or african american asian
B02003	white black or african american native hawaiian and other pacific islander
B02003	white black or african american some other race
B02003	white american indian and alaska native asian
B02003	white american indian and alaska native native hawaiian and other pacific islander
B02003	white american indian and alaska native some other race
B02003	white asian native hawaiian and other pacific islander
B02003	white asian some other race
B02003	white native hawaiian and other pacific islander some other race
B02003	black or african american american indian and alaska native asian
B02003	black or african american american indian and alaska native native hawaiian and other pacific islander
B02003	black or african american american indian and alaska native some other race
B02003	black or african american asian native hawaiian and other pacific islander
B02003	black or african american asian some other race
B02003	black or african american native hawaiian and other pacific islander some other race
B02003	american indian and alaska native asian native hawaiian and other pacific islander
B02003	american indian and alaska native asian some other race
B02003	american indian and alaska native native hawaiian and other pacific islander some other race
B02003	asian native hawaiian and other pacific islander some other race
B02003	population of four races
B02003	white black or african american american indian and alaska native asian
B02003	white black or african american american indian and alaska native native hawaiian and other pacific islander
B02003	white black or african american american indian and alaska native some other race
B02003	white black or african american asian native hawaiian and other pacific islander
B02003	white black or african american asian some other race
B02003	white black or african american native hawaiian and other pacific islander some other race
B02003	white american indian and alaska native asian native hawaiian and other pacific islander
B02003	white american indian and alaska native asian some other race
B02003	white american indian and alaska native native hawaiian and other pacific islander some other race
B02003	white asian native hawaiian and other pacific islander some other race
B02003	black or african american american indian and alaska native asian native hawaiian and other pacific islander
B02003	black or african american american indian and alaska native asian some other race
B02003	black or african american american indian and alaska native native hawaiian and other pacific islander some other race
B02003	black or african american asian native hawaiian and other pacific islander some other race
B02003	american indian and alaska native asian native hawaiian and other pacific islander some other race
B02003	population of five races
B02003	white black or african american american indian and alaska native asian native hawaiian and other pacific islander
B02003	white black or african american american indian and alaska native asian some other race
B02003	white black or african american american indian and alaska native native hawaiian and other pacific islander some other race
B02003	white black or african american asian native hawaiian and other pacific islander some other race
B02003	white american indian and alaska native asian native hawaiian and other pacific islander some other race
B02003	black or african american american indian and alaska native asian native hawaiian and other pacific islander some other race
B02003	population of six races
B02003	white black or african american american indian and alaska native asian native hawaiian and other pacific islander some other race
B02008	white alone or in combination with one or more other races
B02008	universe white alone or in combination with one or more other races
B02009	black or african american alone or in combination with one or more other races
B02009	universe black or african american alone or in combination with one or more other races
B02010	american indian and alaska native alone or in combination with one or more other races
B02010	universe american indian or alaska native alone or in combination with one or more other races
B02011	asian alone or in combination with one or more other races
B02011	universe asian alone or in combination with one or more other races
B02012	native hawaiian and other pacific islander alone or in combination with one or more other races
B02012	universe native hawaiian and other pacific islander alone or in combination with one or more other races
B02013	some other race alone or in combination with one or more other races
